"key","description"
"PTYCHO_propagation","Propagation may be near or far"
"PTYCHO_refN","Ptycho parameters"
"PTYCHO_stepSize","Step size during scan"
"PTYCHO_tomoParameters","Ptycho tomography parameters"
"Process_triggering","Defines how the process has been launched. Values are MANUAL, AUTOMATIC"
"Project_name","Name of project"
"SAXS_column_type","HPLC column type. [ex. Agilent BioSEC 130]"
"SAXS_directory","Data collection directory"
"SAXS_experimentType","Type of experiment"
"SAXS_experiment_type","It the kind of experiment: sample changer or HPLC"
"SAXS_guinier_i0","Guinier radius of giration"
"SAXS_guinier_points","Points of the Guinier region"
"SAXS_guinier_rg","Guinier radius of giration"
"SAXS_rg","Calculated radious of giration. It can be calculated with Gnom or BIFT"
"SAXS_run_number","It can be buffer or sample"
"SAXS_sample_type","It can be buffer or sample"
"SXDM_beamSizeHorizontal","Horizontal beam size on the sample in microns"
"SXDM_beamSizeVertical","Vertical beam size on the sample in microns"
"SampleChanger_position","Sample changer position"
"SampleEnvironment_description","Description of the apparatus; e.g. 100mm bore orange cryostat with Roots pump"
"SampleEnvironment_name","Apparatus identification code/model number; e.g. OC100 011"
"SampleEnvironment_type","Type of apparatus. This could be the SE codes in scheduling database; e.g. OC/100"
"SampleLocalisation_continental_region","Continental region"
"SampleLocalisation_country","Country"
"SampleLocalisation_name","Name of the localisation"
"SamplePaleoClassification_clade1","Clade 1"
"SamplePaleoClassification_clade2","Clade 2"
"SamplePaleoClassification_clade3","Clade 3"
"SamplePaleoClassification_clade4","Clade 4"
"SamplePaleoClassification_clade5","Clade 5"
"SamplePaleoClassification_clade6","Clade 6"
"SamplePaleoClassification_material_type","Material Type"
"SamplePaleoClassification_species","Species"
"SamplePaleoGeologicalTime_epoch","Epoch"
"SamplePaleoGeologicalTime_era","Era"
"SamplePaleoGeologicalTime_formation","Formation"
"SamplePaleoGeologicalTime_period","Period"
"SamplePaleo_repository_institution","Repository institution"
"SamplePaleo_scientific_domain","Scientific domain"
"SamplePatient_age","Age of the patient"
"SamplePatient_info","Information about the patient"
"SamplePatient_institute","Institute of origin of the patient"
"SamplePatient_number","Number of the patient"
"SamplePatient_organ_description","Name of the organ"
"SamplePatient_organ_name","Name of the organ"
"SamplePatient_sex","Sex of the patient"
"SamplePatient_sex","Patient sex"
"SamplePatient_sex","Donor sex"
"SamplePatient_sex","Sex of the donor"
"SamplePatient_size","Size of the patient"
"SamplePatient_weight","Weight of the patient"
"SampleProtein_acronym","Acronym of the protein"
"SampleProtein_name","Acronym of the protein"
"SampleTrackingContainer_capaticy","Total capacity of the container"
"SampleTrackingContainer_id","Identifier of the container"
"SampleTrackingContainer_position","Position of the sample within the container"
"SampleTrackingContainer_type","Type of container. Example: unipuck, spinepuck, etc..."
"SampleTrackingParcel_id","Identifier of the parcel"
"SampleTrackingParcel_storage_condition","Storage conditions of the parcel. Example: -80 degrees"
"Sample_chemical_formula","Chemical formula of the sample"
"Sample_description","Description of the sample"
"Sample_distance","Translation of the sample along the Z-direction of the laboratory coordinate system"
"Sample_name","Name of the sample"
"Sample_situation","The atmosphere will be one of the components, which is where its details will be stored; the relevant components will be indicated by the entry in the sample_component member."
"Sample_temperature_env","Additional sample temperature environment information"
"Sample_ub_matrix","UB matrix of single crystal sample using Busing-Levy convention: W. R. Busing and H. A. Levy (1967). Acta Cryst. 22, 457-464. This is the multiplication of the orientation_matrix, given above, with the BB matrix which can be derived from the lattice constants."
"Source_current_start","Machine current"
"TOMO_FTOMO_PAR","Ftomo parameters"
"TOMO_ZDelta","incremental value of the stage"
"TOMO_ZMot","motor mnemonic"
"TOMO_ZNsteps","Number of stage"
"TOMO_ZStart","initial position of the motor 1st stage"
"TOMO_accExposureTime","Time of 1 frame in accumulation mode"
"TOMO_accFramesCount","Number of frames in accumulation mode"
"TOMO_accelDisp","Micos rot accel disp"
"TOMO_autoUpdateRef","update ref auto if set"
"TOMO_beamCheck","Suspend scan if no beam if set"
"TOMO_camXMot","Motor to move detector along beam axis"
"TOMO_ccdAcqMode","Detector acquisition mode"
"TOMO_ccdFlipHorz","Detector horizontal flip if set"
"TOMO_ccdFlipVert","Detector vertical flip if set"
"TOMO_ccdMode","Acquisition mode FTM-FFM"
"TOMO_ccdPixelSize","Detector Pixel size"
"TOMO_ccdTime","Integration time in s"
"TOMO_comment","Comment"
"TOMO_darkN","Dark images NUMERIC"
"TOMO_detectorDistance","Sample detector distance"
"TOMO_energy","Beam energy"
"TOMO_experimentType","Type of experiment"
"TOMO_exposureTime","Exposure time in s"
"TOMO_halfAcquisition","half-acquisition mode if set"
"TOMO_i0","Incident intensity"
"TOMO_i0_end","Incident flux"
"TOMO_i0_start","Incident flux"
"TOMO_idNames","it is the insertion device when you are on an ID beamline"
"TOMO_imagePixelSize","pixel size optic used"
"TOMO_imagesAtEndAsQuali","Using images at end as quali if set"
"TOMO_imagesPerStep","Number of images per steps"
"TOMO_interlaced","Interlaced scan if set"
"TOMO_interlaced_roundtrip","boolean : Same or opposite directions when interlacing"
"TOMO_it","Transmitted intensity"
"TOMO_it_end","Transmitted flux"
"TOMO_it_start","Transmitted flux"
"TOMO_jp2CompressRatio","compression level used for the conversion from the tif 16bits to the jpeg2000 16 bits. It is typically 10x size reduction, but it can be adapted if needed."
"TOMO_latencyTime","Extra readout time for detector at each projection"
"TOMO_liveCorrection","Dark fields recorded befor scan if set"
"TOMO_magnification","Magnification of pixel size due to optics"
"TOMO_manualPixelSize","Force user to indicate pixel size if set"
"TOMO_max32to16bits","the two values used to convert from the initial 32 bits scale in float to the 16 bits one in unsigned integer. These values can be used in case some quantification would be required."
"TOMO_min32to16bits","the two values used to convert from the initial 32 bits scale in float to the 16 bits one in unsigned integer. These values can be used in case some quantification would be required."
"TOMO_monoTuneOnRef","Tune mono before taking references if set"
"TOMO_monoTuneOnStart","Tune mono befor scan starts if set"
"TOMO_nested","Nested case for topotomo if set"
"TOMO_noAccelCorr","Correct motion at acceleration if set"
"TOMO_noImagesAtEnd","Do not take images at end of scan if set"
"TOMO_noRefAtEnd","Take references at the end of the scan if set"
"TOMO_openSlitsOnQuali","Enlarge the beam for quaki images if set"
